path,sha256,lines,summary
lakefile.lean,9efe619d3b62e5292c5de4da431e91e0234f6d7017652dd33ed21b57784aa726,36,Module without docstring; contains standard defs/lemmas.
rh/Axioms.lean,5697cd5ac7c8a77420feab5b62d933e3c66496a6b06848b6e5e93808847133df,21,This module intentionally declares no axioms. It exists as a marker that the certificate route and analytic bounds do not rely on new axioms. It also re-exports certain theorems proved elsewhere (e.g. in `RS`) so that downstream modules that historically imported `Axioms` keep working without depending on new axioms.
rh/Blockers/Triage.lean,adbf6f13c6e6d5001f4801b1048267d88368e52250cb5417a79b30c88361a4bc,23,"Blockers triage (placeholder). This file previously imported mathlib modules that are unavailable in the current toolchain and declared statements using them. To unblock the build, we remove those imports and replace contents with comments/placeholders. This module no longer references external blocker logs; proceed within the track with statement-level interfaces as needed."
rh/Cert/FactorsWitness.lean,b671e7cdfe9e81b0978b9868204efa273207f4419df8a0c358854515ad9bc2d3,108,Abstract H′-bound to Carleson budget bridge (lightweight). We expose a minimal abstract interface representing a uniform derivative bound on a closed strip and show how it yields the concrete half–plane Carleson budget shape needed by the certificate. Heavy analytic work is elsewhere.
rh/Cert/K0PPlus.lean,dbb51fc0827acd6597b1daa172a437afa4228070e1be973e13689c85c4c29bc9,14,def K0Available : Prop := RH.AcademicFramework.EulerProduct.K0.K0_bound_on_strip
rh/Cert/KxiPPlus.lean,c22fee7c6c643464addf23ba76abf168abcd116f1cc9ff9403a1e957ada9676d,166,def Ω : Set ℂ := {s | (Complex.re s) > (1/2 : ℝ)}
rh/Cert/KxiWhitney.lean,0f5739470903b15f2288bbff0e374eb12ab1a023cf1ee245aae572452d5f6ceb,97,"# Kξ Whitney–box Carleson interface (Prop‑level) This module provides a lightweight, statement‑level interface for the Whitney–box Carleson finiteness of the analytic field `Uξ(σ,t) := Re (log ξ(1/2+σ+it))`, parameterized by a fixed aperture `α` and Whitney schedule parameter `c`. Deliverables (Prop-level only, no analytics): - `KxiBound (α c) : Prop` — existence of a finite nonnegative constant `Kξ`. - `Cbox_zeta_of_Kxi` — adapter that exposes the combined ζ‑side box constant `K0 + Kξ` from a `"
rh/Cert/KxiWhitney_RvM.lean,f157867f54078674ba75cdbf020e96bf064b2659d8d7fbf15666a5cd1ec5e0be,168,"Agent F — Kξ from RvM short‑interval zero counts (statement-level) This siloed Cert module records: - A formal statement shape for a short‑interval zero‑count bound on Whitney length L ≍ c / log⟨T⟩, expressed abstractly via a counting function. - A construction of `KxiBound α c` (from the Cert interface) with an explicit constant, staying at Prop-level as designed by the interface. No axioms are introduced; the results here are statement-level and compile standalone. Downstream consumers can ins"
rh/DeterminantIdentityCompletionProof.lean,140cbbc9acc9286a0ce784f24f0c39a0fd6841d39f20f5798e3854ac0ced0de0,532,# (EXPERIMENTAL) Proof of Determinant Identity — Quarantined NOTE: This file is experimental and not part of the main verified proof route. Do not import or depend on this module for the primary chain; use the DiagonalFredholm + EulerProduct wrappers and RS modules instead.
rh/Proof/AxiomsCheck.lean,1fa233448bb23218bae1e8cefcd6c0d0e0526eb9dd6333c316475ab2b83815b7,18,Module without docstring; contains standard defs/lemmas.
